Meter No.,Time,Total cumulative energy(T1+T2)(kWh),T1 active energy(+)(kWh),T2 active energy(+)(kWh),Apparent power(+)(kVA),A phase apparent power(kVA),B phase apparent power(kVA),C phase apparent power(kVA),Active power(+)(kW),A phase active power(kW),B phase active power(kW),C phase active power(kW),Power factor(%),A phase power factor(%),B phase power factor(%),C phase power factor(%),A phase current(A),B phase current(A),C phase current(A),A phase voltage(V),B phase voltage(V),C phase voltage(V),time_original,date,hour_12,minute
40016110879,2026-03-14 07:00:00,3017168.46,1508403.81,1508764.65,47.58,,,,47.58,,,,1.0,0.979,0.986,0.977,63.3,77.4,57.6,243.5,242.8,243.9,2026-03-14 07:00:00,2026-03-14,7,0
40016110879,2026-03-14 06:00:00,3017125.95,1508403.81,1508722.14,45.48,,,,45.48,,,,1.0,0.976,0.966,0.963,62.4,66.9,61.2,244.8,244.1,245.1,2026-03-14 06:00:00,2026-03-14,6,0
40016110879,2026-03-14 05:00:00,3017090.16,1508403.81,1508686.35,13.7392,,,,12.75,,,,0.928,0.673,0.381,0.804,19.8,20.1,37.5,241.3,240.4,241.3,2026-03-14 05:00:00,2026-03-14,5,0
40016110879,2026-03-14 04:00:00,3017073.9,1508403.81,1508670.09,18.8118,,,,15.99,,,,0.85,,,,,,,,,,2026-03-14 04:00:00,2026-03-14,4,0
40016110879,2026-03-14 03:00:00,3017051.01,1508403.81,1508647.2,11.07,,,,11.07,,,,1.0,0.471,0.858,0.404,29.7,40.2,37.2,244.2,243.7,244.3,2026-03-14 03:00:00,2026-03-14,3,0
40016110879,2026-03-14 02:00:00,3017036.25,1508403.81,1508632.44,16.9613,,,,14.01,,,,0.826,0.735,0.776,0.63,34.5,38.4,50.4,242.7,242.0,242.7,2026-03-14 02:00:00,2026-03-14,2,0
40016110879,2026-03-14 01:00:00,3017017.38,1508384.94,1508632.44,18.7077,,,,18.24,,,,0.975,0.792,0.804,0.725,33.3,38.1,51.9,242.4,241.6,242.4,2026-03-14 01:00:00,2026-03-14,1,0
40016110879,2026-03-14 12:00:00,3016999.98,1508367.54,1508632.44,3.8769,,,,3.78,,,,0.975,0.584,0.676,0.435,21.0,30.3,35.4,241.2,240.4,241.1,2026-03-14 12:00:00,2026-03-14,12,0
40016110879,2026-03-14 11:00:00,3016991.22,1508358.78,1508632.44,141.6522,,,,16.29,,,,0.115,0.717,0.578,0.685,32.1,29.4,45.0,240.8,239.7,240.7,2026-03-14 11:00:00,2026-03-14,11,0
40016110879,2026-03-14 10:00:00,3016956.15,1508323.71,1508632.44,28.83,,,,28.83,,,,1.0,0.945,0.855,0.873,41.4,40.8,49.2,241.2,240.4,241.6,2026-03-14 10:00:00,2026-03-14,10,0
40016110879,2026-03-14 09:00:00,3016931.79,1508299.35,1508632.44,25.6798,,,,25.5,,,,0.993,0.923,0.898,0.84,37.8,43.5,34.2,242.4,241.6,242.6,2026-03-14 09:00:00,2026-03-14,9,0
40016110879,2026-03-14 08:00:00,3016893.36,1508260.92,1508632.44,60.96,,,,60.96,,,,1.0,0.976,0.976,0.964,75.3,96.6,87.9,240.8,239.5,240.6,2026-03-14 08:00:00,2026-03-14,8,0
40016110879,2026-03-14 07:00:00,3016845.3,1508260.86,1508584.44,45.3769,,,,45.15,,,,0.995,0.978,0.972,0.962,63.0,62.1,64.5,244.0,243.1,244.1,2026-03-14 07:00:00,2026-03-14,7,0
40016110879,2026-03-14 06:00:00,3016797.78,1508260.86,1508536.92,43.17,,,,43.17,,,,1.0,0.98,0.979,0.962,61.8,69.6,50.7,242.3,241.6,242.3,2026-03-14 06:00:00,2026-03-14,6,0
40016110879,2026-03-14 05:00:00,3016756.35,1508260.86,1508495.49,39.69,,,,39.69,,,,1.0,0.982,0.982,0.961,60.0,64.2,40.8,245.2,244.3,245.1,2026-03-14 05:00:00,2026-03-14,5,0
40016110879,2026-03-14 04:00:00,3016716.75,1508260.86,1508455.89,40.14,,,,40.14,,,,1.0,0.984,0.982,0.961,62.4,64.5,40.2,244.3,243.3,244.3,2026-03-14 04:00:00,2026-03-14,4,0
40016110879,2026-03-14 03:00:00,3016675.8,1508260.86,1508414.94,41.73,,,,41.73,,,,1.0,0.985,0.983,0.961,69.0,64.8,40.5,243.9,242.8,243.7,2026-03-14 03:00:00,2026-03-14,3,0
40016110879,2026-03-14 02:00:00,3016632.84,1508260.86,1508371.98,45.87,,,,45.87,,,,1.0,0.983,0.982,0.968,78.6,68.4,41.4,247.6,246.5,247.6,2026-03-14 02:00:00,2026-03-14,2,0
40016110879,2026-03-14 01:00:00,3016590.57,1508260.86,1508329.71,42.63,,,,42.63,,,,1.0,0.983,0.984,0.968,65.1,68.7,42.3,246.1,245.0,246.1,2026-03-14 01:00:00,2026-03-14,1,0
40016110879,2026-03-13 11:00:00,3016517.31,1508260.86,1508256.45,42.93,,,,42.93,,,,1.0,0.984,0.984,0.971,65.4,70.2,43.2,243.2,242.3,243.4,2026-03-13 11:00:00,2026-03-13,11,0
40016110879,2026-03-13 10:00:00,3016473.45,1508260.86,1508212.59,49.23,,,,49.23,,,,1.0,0.989,0.986,0.974,76.8,73.2,52.5,246.0,245.1,246.2,2026-03-13 10:00:00,2026-03-13,10,0
40016110879,2026-03-13 09:00:00,3016426.65,1508214.12,1508212.53,49.77,,,,49.77,,,,1.0,0.986,0.984,0.962,85.8,74.4,47.1,244.0,243.2,244.2,2026-03-13 09:00:00,2026-03-13,9,0
40016110879,2026-03-13 08:00:00,3016369.83,1508157.3,1508212.53,64.26,,,,64.26,,,,1.0,0.987,0.978,0.972,102.9,98.7,69.9,240.7,240.0,240.9,2026-03-13 08:00:00,2026-03-13,8,0
40016110879,2026-03-13 07:00:00,3016303.56,1508091.03,1508212.53,63.12,,,,63.12,,,,1.0,0.987,0.977,0.971,93.9,99.9,73.2,240.4,239.9,240.8,2026-03-13 07:00:00,2026-03-13,7,0
40016110879,2026-03-13 06:00:00,3016245.78,1508033.25,1508212.53,56.34,,,,56.34,,,,1.0,0.981,0.955,0.968,76.5,74.7,88.2,242.3,241.8,242.7,2026-03-13 06:00:00,2026-03-13,6,0
40016110879,2026-03-13 05:00:00,3016202.79,1507990.26,1508212.53,24.4761,,,,24.06,,,,0.983,0.806,0.859,0.844,29.7,47.1,40.5,241.5,240.5,241.7,2026-03-13 05:00:00,2026-03-13,5,0
